name,address,phone,longitude,latitude,place_id,business_status,google_maps_url,source
"""Waves on the Beach"" a Seafood Restaurant","UdaySamudra Beach Hotel & Spa, CX2C+HP9, G.V.Raja Road, Samudra Beach, Kovalam, Thiruvananthapuram, Kerala 695527, India",+91 471 248 1654,76.97186099999999,8.401413,ChIJPbhh6walBTsRxIYxs_rpztQ,CLOSED_TEMPORARILY,https://www.google.com/maps/place/?q=place_id:ChIJPbhh6walBTsRxIYxs_rpztQ,restaurants.csv
7day's Hotel,"Ambalathara near, bus stop, near ambalathara, Karimbuvila, Beemapally, Thiruvananthapuram, Kerala 695026, India",,76.94739229999999,8.4483795,ChIJ98nCzTC7BTsRYxrs1F2CXF0,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJ98nCzTC7BTsRYxrs1F2CXF0,restaurants.csv
A K Hotel,"GV5W+64H, Madhavapuram Colony, Kochuveli, Thiruvananthapuram, Kerala 695021, India",+91 98958 99818,76.8953681,8.5080715,ChIJ_abYDAC9BTsRMGJgBYWLoNQ,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJ_abYDAC9BTsRMGJgBYWLoNQ,restaurants.csv
A M JUICE CORNER,"A M JUICE CORNER, Amballoor, Thiruvananthapuram, Kerala 695585, India",+91 77367 71273,76.8750326,8.5877862,ChIJAZ8CLVO_BTsRG95pgNQmTnQ,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJAZ8CLVO_BTsRG95pgNQmTnQ,restaurants.csv
A one Family Restaurant &Cool bar,"92WF+6J8, Junction, uchakkada, Vizhinjam, Venganoor, Kerala 695501, India",,77.02407819999999,8.3955492,ChIJzx6bRQCvBTsR9f1j372EAL0,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJzx6bRQCvBTsR9f1j372EAL0,restaurants.csv
A1 Bakery and Hotel,"Venchavode, Junction, Chempazhanthy, Sreekaryam, Thiruvananthapuram, Kerala 695017, India",,76.9126276,8.5600445,ChIJxU7a_be_BTsRpX_xgfbDhUo,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJxU7a_be_BTsRpX_xgfbDhUo,restaurants.csv
Aami Hot Chips & Bakery,"GX7H+QQ9, Maruthumkuzhi, Thiruvananthapuram, Kerala 695030, India",+91 98957 42310,76.97949559999999,8.514405499999999,ChIJEQP_SDu6BTsRE9ODz4tcDnc,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJEQP_SDu6BTsRE9ODz4tcDnc,restaurants.csv
Aarya Hotel,"GWCH+HX2, Medical College Murinjapalam Rd, Murinjapalam, Thiruvananthapuram, Kerala 695011, India",,76.9298838,8.521398099999999,ChIJV3rxMuO7BTsR7_XU9vQaRH8,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJV3rxMuO7BTsR7_XU9vQaRH8,restaurants.csv
Aasife Biriyani - Eanchakkal (Trivandrum) Now Open Till 3:00 A.M,"SS Plaza, NH Bypass Service Rd, Eanchakkal, Thiruvananthapuram, Kerala 695008, India",+91 91691 60329,76.9334739,8.4809893,ChIJFwS7WwC7BTsRzJ56ncOVYn0,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJFwS7WwC7BTsRzJ56ncOVYn0,restaurants.csv
Aasife Biriyani - Kesavadasapuram (Trivandrum),"The Vintage by Favourite Homes TC 14/4227(1, 2/3/4, Ulloor - Akkulam Rd, near by Ideal Home Appliance, Aiswarya Nagar, Kesavadasapuram, Thiruvananthapuram, Kerala 695004, India",+91 91291 21277,76.93256199999999,8.5292123,ChIJUUgOuYe5BTsRQZN90aJ64O8,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJUUgOuYe5BTsRQZN90aJ64O8,restaurants.csv
