name,address,phone,longitude,latitude,place_id,business_status,google_maps_url
"""Waves on the Beach"" a Seafood Restaurant","UdaySamudra Beach Hotel & Spa, CX2C+HP9, G.V.Raja Road, Samudra Beach, Kovalam, Thiruvananthapuram, Kerala 695527, India",+91 471 248 1654,76.97186099999999,8.401413,ChIJPbhh6walBTsRxIYxs_rpztQ,CLOSED_TEMPORARILY,https://www.google.com/maps/place/?q=place_id:ChIJPbhh6walBTsRxIYxs_rpztQ
365 Naadan,"Chandrasekharan Nair Stadium Rd, opp. MLA Hostel, University of Kerala Senate House Campus, Palayam, Thiruvananthapuram, Kerala 695034, India",,76.9500527,8.5039359,ChIJacOnfQC7BTsR588WmVmGY_8,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJacOnfQC7BTsR588WmVmGY_8
5 Star Thattukada,"C2QV+J8G, Vellapally Mukkampalamoodu rd, Mukkampalamoodu, Balaramapuram, Pallichal, Kerala 695528, India",+91 62382 20062,77.04332529999999,8.439053200000002,ChIJ1xTpHwCvBTsRmdX5vuBKCmc,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJ1xTpHwCvBTsRmdX5vuBKCmc
5 Star Thattukada,"GWJC+775, Prasanth Nagar Rd, Prasanth Nagar, Ulloor, Thiruvananthapuram, Kerala 695011, India",+91 90375 10438,76.9207433,8.5306452,ChIJzezbelO5BTsR0dZlyv8VE2I,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJzezbelO5BTsR0dZlyv8VE2I
5 Star Thattukada,"CVN67-A, Samithy Nagar, Ambalamukku, Thiruvananthapuram, Kerala 695043, India",,76.95419249999999,8.5364678,ChIJM5ZPSgC5BTsReVGYKQlI_3A,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJM5ZPSgC5BTsReVGYKQlI_3A
7day's Hotel,"Ambalathara near, bus stop, near ambalathara, Karimbuvila, Beemapally, Thiruvananthapuram, Kerala 695026, India",,76.94739229999999,8.4483795,ChIJ98nCzTC7BTsRYxrs1F2CXF0,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJ98nCzTC7BTsRYxrs1F2CXF0
A K Hotel,"GV5W+64H, Madhavapuram Colony, Kochuveli, Thiruvananthapuram, Kerala 695021, India",+91 98958 99818,76.8953681,8.5080715,ChIJ_abYDAC9BTsRMGJgBYWLoNQ,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJ_abYDAC9BTsRMGJgBYWLoNQ
A M JUICE CORNER,"A M JUICE CORNER, Amballoor, Thiruvananthapuram, Kerala 695585, India",+91 77367 71273,76.8750326,8.5877862,ChIJAZ8CLVO_BTsRG95pgNQmTnQ,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJAZ8CLVO_BTsRG95pgNQmTnQ
A one Family Restaurant &Cool bar,"92WF+6J8, Junction, uchakkada, Vizhinjam, Venganoor, Kerala 695501, India",,77.02407819999999,8.3955492,ChIJzx6bRQCvBTsR9f1j372EAL0,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJzx6bRQCvBTsR9f1j372EAL0
A S Chicken Stall,"JX8Q+QP5, Kolackode - Nagarikunnu - Pazhakutty Road, Nedumangad, Kerala 695561, India",,76.989347,8.6168966,ChIJgdAzDP7HBTsREMUfnSF7QzE,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJgdAzDP7HBTsREMUfnSF7QzE
A Sree Vinayaka Chappathi Corner,"near Bus Stop, Karyavattom, Thiruvananthapuram, Kerala 695581, India",+91 94963 39344,76.8908558,8.566842099999999,ChIJMySupG6_BTsRM_IPpvzayC8,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJMySupG6_BTsRM_IPpvzayC8
A-1 Fastfood,"KRA 11, Vattiyoorkkav Puliyarakkonam Rd, Thiruvananthapuram, Kerala 695013, India",+91 93881 14541,76.98935639999999,8.525274999999999,ChIJcWJ2uR-6BTsRxLJcBNH86iI,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJcWJ2uR-6BTsRxLJcBNH86iI
A-One chicken stall,"G22V+X4W, Moongodu Rd, Vilappil, Kerala 695573, India",+91 94966 12806,77.04208750000001,8.5024531,ChIJr0eg7AaxBTsRRZrMr0ycnPA,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJr0eg7AaxBTsRRZrMr0ycnPA
"A.m catering ambalathara,trivandrum","CXW2+FPH, Kovalam Rd, Thiruvallam, Thiruvananthapuram, Kerala 695026, India",,76.9518599,8.4461933,ChIJpQzaTvm7BTsRGVnbrxRt4F4,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJpQzaTvm7BTsRGVnbrxRt4F4
A1 Bakery and Hotel,"Venchavode, Junction, Chempazhanthy, Sreekaryam, Thiruvananthapuram, Kerala 695017, India",,76.9126276,8.5600445,ChIJxU7a_be_BTsRpX_xgfbDhUo,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJxU7a_be_BTsRpX_xgfbDhUo
A1 halal chicken stall.,"peroorkada market, Samithy Nagar, Peroorkada, Thiruvananthapuram, Kerala 695005, India",,76.9614174,8.5339714,ChIJj9XNlca5BTsR8mdjyEZNDHU,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJj9XNlca5BTsR8mdjyEZNDHU
A1 തട്ടുകട,"CXQ6+V44 studio, jn, Thiruvallam, Thiruvananthapuram, Kerala 695027, India",,76.9603315,8.439647599999999,ChIJGe4rjXC7BTsRImqPrBuEGMQ,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJGe4rjXC7BTsRImqPrBuEGMQ
Aadisaktthi Leisure Resort Kovalam,"227/A, KS Rd, Vellar, Kovalam, Thiruvananthapuram, Kerala 695527, India",+91 96331 78787,76.9787142,8.410811899999999,ChIJTd7hfIqlBTsRR3Wf6eSRltI,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJTd7hfIqlBTsRR3Wf6eSRltI
Aami Hot Chips & Bakery,"GX7H+QQ9, Maruthumkuzhi, Thiruvananthapuram, Kerala 695030, India",+91 98957 42310,76.97949559999999,8.514405499999999,ChIJEQP_SDu6BTsRE9ODz4tcDnc,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJEQP_SDu6BTsRE9ODz4tcDnc
Aami's T shop,"NH 66, Vazhamuttom, Thiruvananthapuram, Kerala 695027, India",,76.97063829999999,8.4144183,ChIJBRDtaQClBTsRCH3tIGHn6xs,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJBRDtaQClBTsRCH3tIGHn6xs
Aamis CHAPPATHI CORNER,"Kerala 695541, India",,77.0174756,8.597810599999999,ChIJ17S-X_G3BTsRgst8EeOMjpw,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJ17S-X_G3BTsRgst8EeOMjpw
Aamis Thattukada,"Kochar Rd, Sasthamangalam, Thiruvananthapuram, Kerala 695010, India",,76.9760403,8.5111291,ChIJB4Xe4027BTsRK_FLXpNSe9A,OPERATIONAL,https://www.google.com/maps/place/?q=place_id:ChIJB4Xe4027BTsRK_FLXpNSe9A
